Category,Name,Description,URL,Image URL,Landing Page URL
Tech,The Flyover,Cruise the news. Land the facts.,https://inboxreads.co/n/the-flyover,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727342209111-431316082.jpg?tr=w-600,f-webp",../l/newsletter/the-flyover?source=newsletter-details
Tech,Exponential View,Analysis on AI and exponential technologies.,https://inboxreads.co/n/exponential-view,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727310116091-390965857.jpg?tr=w-600,f-webp",../l/newsletter/exponential-view?source=newsletter-details
Tech,Fortune The Reader,The most captivating stories from Fortune,https://inboxreads.co/n/fortune-the-reader,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1728055267962-199026649.jpg?tr=w-600,f-webp",../l/newsletter/fortune-the-reader?source=newsletter-details
Tech,Multilarity,Big ideas for the curious & creative,https://inboxreads.co/n/multilarity,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727287904375-3523635.jpg?tr=w-600,f-webp",../l/newsletter/multilarity?source=newsletter-details
Tech,The Information: The Briefing,"Get smarter about the day’s news in tech, media and finance",https://inboxreads.co/n/the-information-the-briefing,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1732012339807-934284063.jpg?tr=w-600,f-webp",../l/newsletter/the-information-the-briefing?source=newsletter-details
Tech,Bytes,The funniest JavaScript newsletter on the web,https://inboxreads.co/n/bytes,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727393223392-614474917.jpg?tr=w-600,f-webp",../l/newsletter/bytes?source=newsletter-details
Tech,Important Not Important,Science for people who give a shit,https://inboxreads.co/n/important-not-important,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727207278540-460489027.jpg?tr=w-600,f-webp",../l/newsletter/important-not-important?source=newsletter-details
Tech,The Ann Friedman Weekly,"Gender, media, technology, and culture.",https://inboxreads.co/n/the-ann-friedman-weekly,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727394202164-310293202.jpg?tr=w-600,f-webp",../l/newsletter/the-ann-friedman-weekly?source=newsletter-details
Tech,The Pragmatic Engineer,"Big Tech and startups, from the inside.",https://inboxreads.co/n/the-pragmatic-engineer,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727437504376-530116498.jpg?tr=w-600,f-webp",../l/newsletter/the-pragmatic-engineer?source=newsletter-details
Tech,Platformer,News at the intersection of Silicon Valley and democracy,https://inboxreads.co/n/platformer,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727342626598-565481108.jpg?tr=w-600,f-webp",../l/newsletter/platformer?source=newsletter-details
Tech,Evening Briefing by Bloomberg,The biggest stories of the day,https://inboxreads.co/n/evening-briefing-by-bloomberg,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1732012884021-265901938.jpg?tr=w-600,f-webp",../l/newsletter/evening-briefing-by-bloomberg?source=newsletter-details
